SAMPLEID	OMIC	FULLPATH	R1	R2	ASSEMBLY_GROUPING	LAB_NUM	FULL_NAME
124_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	124_S8_L001_R1_001.fastq.gz	124_S8_L001_R2_001.fastq.gz	Shrimpocalypse	124	MCR_METAG_124_Shrimpocalypse_J2-1242
124_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	124_S8_L002_R1_001.fastq.gz	124_S8_L002_R2_001.fastq.gz	Shrimpocalypse	124	MCR_METAG_124_Shrimpocalypse_J2-1242
125_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	125_S9_L001_R1_001.fastq.gz	125_S9_L001_R2_001.fastq.gz	SouthofLungSnack	125	MCR_METAG_125_SouthofLungSnack_J2-1242
125_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	125_S9_L002_R1_001.fastq.gz	125_S9_L002_R2_001.fastq.gz	SouthofLungSnack	125	MCR_METAG_125_SouthofLungSnack_J2-1242
126_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	126_S10_L001_R1_001.fastq.gz	126_S10_L001_R2_001.fastq.gz	MustardStand	126	MCR_METAG_126_MustardStand_J2-1243
126_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	126_S10_L002_R1_001.fastq.gz	126_S10_L002_R2_001.fastq.gz	MustardStand	126	MCR_METAG_126_MustardStand_J2-1243
127_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	127_S11_L001_R1_001.fastq.gz	127_S11_L001_R2_001.fastq.gz	ArrowLoop	127	MCR_METAG_127_ArrowLoop_J2-1243
127_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	127_S11_L002_R1_001.fastq.gz	127_S11_L002_R2_001.fastq.gz	ArrowLoop	127	MCR_METAG_127_ArrowLoop_J2-1243
128_L001	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	128_S12_L001_R1_001.fastq.gz	128_S12_L001_R2_001.fastq.gz	ShrimpHole	128	MCR_METAG_128_ShrimpHole_J2-1244
128_L002	METAGENOMIC	/vortexfs1/omics/huber/data/frenemies-metaG-jan2023/Frenemies_MCR_metag_2022_done	128_S12_L002_R1_001.fastq.gz	128_S12_L002_R2_001.fastq.gz	ShrimpHole	128	MCR_METAG_128_ShrimpHole_J2-1244
